address,district,area,bedrooms,garage,type,rent,total,latitude,longitude,geometry,ID,NM_MESO,CD_GEOCODU,distance_to_schools,distance_to_hospitals,distance_to_parks
Rua Martim Burchard,Brás,44,2,0,Apartamento,2250,2712,-23.5461441,-46.6178889,POINT (-46.6178889 -23.5461441),20,METROPOLITANA DE SÃO PAULO,35,142.67342961288526,957.2131786256822,216.58558735909605
Rua Tuiuti,Tatuapé,61,2,1,Apartamento,1900,2882,-23.5451183,-46.5744197,POINT (-46.5744197 -23.5451183),20,METROPOLITANA DE SÃO PAULO,35,136.29051580587338,197.9745830827262,434.990263409727
Rua São Lourenço,Vila Vivaldi,64,2,1,Casa,2500,2715,-23.6594912,-46.5601745,POINT (-46.5601745 -23.6594912),20,METROPOLITANA DE SÃO PAULO,35,3472.146061044698,3727.7674854779593,4907.4667851831
Rua João Mafra,Vila Brasílio Machado,56,2,2,Apartamento,1900,2700,-23.6136949,-46.6121277,POINT (-46.6121277 -23.6136949),20,METROPOLITANA DE SÃO PAULO,35,72.58644727805738,412.7150333436817,438.33627068802406
Rua Sebastião Mariano,Vila Carlos de Campos,60,2,1,Casa,1600,1668,-23.5299018,-46.5372599,POINT (-46.5372599 -23.5299018),20,METROPOLITANA DE SÃO PAULO,35,132.94012480698638,549.031304588799,625.8988737331669
Avenida Vila Ema,Vila Prudente,56,2,1,Apartamento,1890,2222,-23.5814401,-46.5633364,POINT (-46.5633364 -23.5814401),20,METROPOLITANA DE SÃO PAULO,35,303.7512897260168,650.5191239559482,2063.687850218685
Rua Almaden,Vila Andrade,62,2,1,Apartamento,3300,4354,-23.636283,-46.7352712,POINT (-46.7352712 -23.636283),20,METROPOLITANA DE SÃO PAULO,35,109.64794017979894,776.1876578696681,542.5111910337552
Avenida Rio Branco,Campos Elíseos,35,1,0,Apartamento,1300,1580,-23.5295467,-46.647633,POINT (-46.647633 -23.5295467),20,METROPOLITANA DE SÃO PAULO,35,117.48392824797969,556.7045482117021,426.45950279377905
Rua Tanque Velho,Vila Nivi,45,1,0,Casa,500,551,-23.4804217,-46.5926675,POINT (-46.5926675 -23.4804217),20,METROPOLITANA DE SÃO PAULO,35,216.7313276288607,546.9138599167579,1067.0031617015113
Rua Itiúba,Vila Celeste,47,2,0,Casa,1589,1799,-23.5741098,-46.5696283,POINT (-46.5696283 -23.5741098),20,METROPOLITANA DE SÃO PAULO,35,237.52224734135947,718.7476362759379,1667.6680914224607
