address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Antônio Gomes Ferreira,Parque Fongaro,32,2,0,Apartamento,1100,1492,-23.6339516,-46.5941399
Rua Jovina Maria de Jesus,Jardim das Acácias,209,4,2,Casa,6950,7722,-23.6231918,-46.687339
Rua Capitao Avelino Carneiro,Penha de França,37,1,0,Apartamento,1490,2017,-23.5229661,-46.5486402
Rua Maria José Rangel,Vila São Paulo,65,2,1,Casa,2200,2293,-23.6560774,-46.6711726
Rua Doutor Ferreira Lopes,Vila Sofia,70,3,2,Apartamento,2100,3315,-23.6569475,-46.692619
Rua Edmundo Luís de Nóbrega Teixeira,Campo Grande,114,4,2,Casa,3500,3998,-23.6679817,-46.6828891
Rua Oscar Freire,Cerqueira César,55,2,0,Apartamento,3950,5097,-23.5650996,-46.66673
Rua Almirante Brasil,Mooca,50,2,1,Apartamento,1700,2424,-23.5505419,-46.6074398
Avenida Yervant Kissajikian,Vila Constança,59,3,1,Apartamento,2100,2573,-23.6660255,-46.6767908
Rua Professor José Miziara,Santa Teresinha,55,2,1,Apartamento,1900,2532,-23.4897222,-46.6391261
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,70,2,1,Apartamento,2450,2955,-23.5354605,-46.7184678
Rua Iguaré,Tatuapé,54,2,1,Apartamento,1400,2069,-23.531759,-46.5827501
Rua Diogo de Oliveira,Sítio do Morro,50,2,0,Apartamento,1590,1852,-23.5019409,-46.6687303
Rua Votupoca,Vila Ipojuca,90,4,2,Apartamento,4200,5668,-23.5330242,-46.704804
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,30,1,0,Apartamento,2122,2453,-23.5248504,-46.6711222
Avenida Miguel Frias E Vasconcelos,Jaguaré,80,2,0,Apartamento,3200,4187,-23.5544759,-46.7427941
Avenida Santa Marina,Água Branca,78,2,2,Apartamento,4000,4712,-23.5158485,-46.6909303
Rua Erva Imperial,Vila Alpina,45,2,1,Apartamento,1404,1853,-23.6008373,-46.5408341
Rua Ponte Pensa,Parada Inglesa,37,2,0,Apartamento,1650,1949,-23.4843493,-46.6051691
Rua Speers,Vila Sao Pedro,15,1,0,Studio e kitnet,950,1487,-23.6424873,-46.5286875
Rua João Adolfo,Centro,26,1,0,Studio e kitnet,1750,2194,-23.5809871,-48.0364038
Rua Bento Freitas,República,29,1,0,Studio e kitnet,1300,1682,-23.545592,-46.6455747
Rua Jesuíno Rabello,Vila Milton,60,2,1,Apartamento,1683,2159,-9.964581,-47.66957
Avenida Bartholomeu de Carlos,Jardim Flor da Montanha,38,1,1,Studio e kitnet,1554,2238,-23.4399329,-46.5439573
